2017		
FIPS	Name	2017 County Income Tax Rate
18001	Adams	1.624%
18003	Allen	1.350%
18005	Bartholomew	1.250%
18007	Benton	1.790%
18009	Blackford	1.500%
18011	Boone	1.500%
18013	Brown	2.523%
18015	Carroll	1.704%
18017	Cass	2.500%
18019	Clark	2.000%
18021	Clay	2.250%
18023	Clinton	2.000%
18025	Crawford	1.000%
18027	Daviess	1.750%
18029	Dearborn	0.600%
18031	Decatur	1.330%
18033	DeKalb	2.000%
18035	Delaware	1.500%
18037	Dubois	1.000%
18039	Elkhart	2.000%
18041	Fayette	2.370%
18043	Floyd	1.150%
18045	Fountain	1.550%
18047	Franklin	1.500%
18049	Fulton	1.930%
18051	Gibson	0.700%
18053	Grant	2.250%
18055	Greene	1.250%
18057	Hamilton	1.000%
18059	Hancock	1.700%
18061	Harrison	1.000%
18063	Hendricks	1.500%
18065	Henry	1.500%
18067	Howard	1.650%
18069	Huntington	1.750%
18071	Jackson	2.100%
18073	Jasper	2.864%
18075	Jay	2.450%
18077	Jefferson	0.350%
18079	Jennings	2.500%
18081	Johnson	1.000%
18083	Knox	1.000%
18085	Kosciusko	1.000%
18087	LaGrange	1.400%
18089	Lake	1.500%
18091	LaPorte	0.950%
18093	Lawrence	1.750%
18095	Madison	1.750%
18097	Marion	1.770%
18099	Marshall	1.250%
18101	Martin	1.500%
18103	Miami	2.540%
18105	Monroe	1.345%
18107	Montgomery	2.100%
18109	Morgan	2.720%
18111	Newton	1.000%
18113	Noble	1.750%
18115	Ohio	1.250%
18117	Orange	1.250%
18119	Owen	1.300%
18121	Parke	2.650%
18123	Perry	1.810%
18125	Pike	0.750%
18127	Porter	0.500%
18129	Posey	1.250%
18131	Pulaski	3.380%
18133	Putnam	1.750%
18135	Randolph	2.250%
18137	Ripley	1.380%
18139	Rush	2.100%
18141	Saint Joseph	1.750%
18143	Scott	1.410%
18145	Shelby	1.500%
18147	Spencer	0.800%
18149	Starke	1.710%
18151	Steuben	1.790%
18153	Sullivan	0.300%
18155	Switzerland	1.000%
18157	Tippecanoe	1.100%
18159	Tipton	2.600%
18161	Union	1.750%
18163	Vanderburgh	1.000%
18165	Vermillion	0.200%
18167	Vigo	1.250%
18169	Wabash	2.900%
18171	Warren	2.120%
18173	Warrick	0.500%
18175	Washington	2.000%
18177	Wayne	1.500%
18179	Wells	2.100%
18181	White	1.320%
18183	Whitley	1.483%
